preprocessed_text,target_name
xref cantaloupesrvcscmuedu altconspiracy talkpoliticsmisc talkreligionmisc path cantaloupesrvcscmuedumagnesiumclubcccmuedunewsseicmueducisohiostateeduzaphodmpsohiostateeduwupostuunetthinkcomenterpoopmitedusenatorbedfellowmitedusenatorbedfellowmiteduusenet wdstarrathenamitedu william december starr newsgroups altconspiracytalkpoliticsmisctalkreligionmisc subject message mr president know happened followupto altconspiracytalkpoliticsmisc date apr gmt organization northeastern law class line messageid rborinnfssenatorbedfellowmitedu reference bskendigcqyjgewnetcomcom criaaacsubuffaloedu csqyafvnooseecnpurdueedu nntppostinghost nwmitedu inreplyto tbrentbankecnpurdueedu timothy j brent note followupto redirects altconspiracytalkpoliticsmisc article csqyafvnooseecnpurdueedu tbrentbankecnpurdueedu timothy j brent said response pvasilion dont pack heavy weaponry intent use dont really think allowed keep stuff tell live sure steer well clear public also right placed individual go ahead call commie youd singing different tune exercised right rape daughter broke law threat society job simple evidence david koresh follower packing heavy weaponry intent use recreational selfdefense purpose statement public also right correct parsed individual comprise public also right separate rightsbearing entity known public since right public spoke fact right individual statement right public placed right individual meaning artificially created illusionary conflict individual right speak right rape daughter person right rape another person therefore conflict define society hold society rightsbearing entity separate individual people define threat society extent believe person loses right declared threat william december starr wdstarrathenamitedu,talk.religion.misc
xref cantaloupesrvcscmuedu altmagick altpagan talkreligionmisc path cantaloupesrvcscmuedumagnesiumclubcccmuedunewsseicmueducisohiostateeduzaphodmpsohiostateeduswrindegatechnewsfeedpeachneteduumneducsusedunetcomcomnetcomsvbootweekcoalizard alizardtweekcouucp alizard newsgroups altmagickaltpagantalkreligionmisc subject oto ancient order oriental templar messageid trbwwtweekcouucp date sat apr pdt reference cupportalcom organization tweekcom system bb moraga ca line thyagicupportalcom thyagi morgoth nagasiva writes organization known present time ancient order oriental templar ordo templi orientis otherwise hermetic brotherhood light organization official email address day address sf bay area lodge eg thelema would alizard alizard internet address alizardtweekcoboopacbellcom preferred pacbellcombootweekcoalizard bang path alizardgentoocom backup pgp public key available request,talk.religion.misc
path cantaloupesrvcscmueducrabapplesrvcscmuedubbandrewcmuedunewsseicmueducisohiostateeduzaphodmpsohiostateeducsutexasedunotformail jmerittmentalmitreorg newsgroups talkreligionmisc subject sword date apr organization utexas mailtonews gateway line sender daemoncsutexasedu messageid aadangermousemitreorg nntppostinghost csutexasedu deuteronmy lord thy god hath delivered thine hand thou shalt smite every male thereof edge sword joshua utterly destroyed city bith man woman young old ox sheep as edge sword joshua lord delivered lachish hand israel took second day smote edge sword soul therein according done libnah,talk.religion.misc
xref cantaloupesrvcscmuedu altmagick altpagan talkreligionmisc path cantaloupesrvcscmuedudasnewsharvardedunocnearnethowlandrestonansnetwupostsddhpcomportalcupportalcomthyagi thyagicupportalcom thyagi morgoth nagasiva newsgroups altmagickaltpagantalkreligionmisc subject oto ancient order oriental templar messageid cupportalcom date sun apr pdt organization portal system tm distribution world reference zephczjwjyenetcomcom aprlynxdacnortheasternedu cupportalcom qnrnqpcsugradcsvtedu line thou wilt shall whole law honestly word sin restriction would kid one man word encompass majestic vision thousand individual quoting man quoting order taken context word interpreted much differently one applied within confines original expression think case regarding hymenaeus beta frater superior order belong included bit merlinus x u service showed u extreme order member known go fervor little knowledge regarding reuss background surely unusual man important force order many year yet people change order change look back carefully dirty laundry oto remember surface skim many perspective encompassed extend beyond one individual hope show much room difference opinion within order perhaps testing limit let u examine issue bit closely karl kellner wealthy austrian industrialist paper chemist well highgrade mason founded ordo templi orientis kellner traveled widely east met three adept instructed specific magical practice kellners effort develop order later assisted franz hartmann heinrich klein theodore reuss worked together prior joining oto order first proclaimed reusss masonic publication oriflamme kellners death reuss succeeded outer head oho jubilee edition oriflamme published announced order taught secret sexual magic theodore reuss interesting character born june augsburg entered masonry singer journalist possibly spy prussian political police infiltrating socialist league founded karl marx daughter husband reuss later associated william wynn westcott leader golden dawn later introduced john yarker yarker chartered reuss found rite memphis mizraim germany several attempt concretize various masonic rite reuss settled development oto order experienced reasonably steady growth reuss leadership example chartered papus france rudolph steiner berlin h spencer lewis usa historic meeting reuss crowley occurred crowley wrote reuss came accused revealing order secret crowley looked afresh initiated interpretation sexual magick unfolded first time reuss appointed crowley supreme holy king english speaking world authorization invoked publishing material equinox reuss resigned outer head order suffering stroke named crowley successor well book law translated german break continuity order manyk member split new oho book crowley actively promulgating order earlier revise dthe order ritual reusss request deeply infusing doctrine new aeon revelation introduction history oto ad veritatem ix within equinox iii edited hymenaeus beta frater superior rex summus sanctissimus caliph united state america published samuel weiser many possible reason frater superior included material equinox iii real point wish publish thing history organization represent dogmatic threat principle thelema exercising true putting forth complex picture easy answer picture leaf room many interpretation quite easy see example oto derived dribble faltering masonry purchased clever huckster ounce courage writing ability aid take way present caliph whose feeble support law thelema laughable best would thrown order speaking way think frater see perspective interjection using example illustration show may express thing context larger work true significance may quite difficult apprehend first may oto merlinus x please look oto carefully support reusss word qualified assess critical pomposity member order take stand allowed continue say health order mean order gone soft abandoned moral principle mean strong ability let universal kinship arise shackled dogmatic requirement shall resolve two possibility find high calibre individual associated ordo templi orientis often quite intelligent sometimes well versed arcane usual information quite often artist genius met longstanding member sf bay area many heavily involved order vouch integrity organization stand sometimes questioned policy hymenaeus beta moment followed intuition ive found little stop requesting second initiation different oto body im happily participating social group feast initiation come know gnostic mass well enough taste doesnt make authority order politics explanation however hypothesize relay understand based limited contact member urge take word merlinus x far many way interpret word many people become involved order feel strongly sanctity personal freedom preservation individual vision welcome comment issue writing response post thread invoke star love law love frater nigris dclxvi cccxxxiii,talk.religion.misc
xref cantaloupesrvcscmuedu talkorigins talkreligionmisc path cantaloupesrvcscmuedumagnesiumclubcccmuedunewsseicmueducisohiostateeduzaphodmpsohiostateeduuwmedulinacattbuedububiocolby colbybubiobuedu chris colby newsgroups talkoriginsaltathiesmtalkreligionmisc subject another assertion macroevolution messageid buedu date apr gmt reference aprramboatlantadgcom crjyrbusenetucsindianaedu aprramboatlantadgcom sender newsbuedu followupto talkorigins organization animal coelomate deuterostome line article aprramboatlantadgcom wpratlantadgcom bill rawlins writes macroevolution observed action chris colbys example speciation due respect chris plant example gave consitute macroevolution put another way incredibly huge number event necessary bring nonlife homo sapiens many directly observed special creation observed action bill rawlins assertion man created present form count creation put another way incredible amount specie planet many specie directly observed created god god bill rawlins wpratlantadgcom chris colby email colbybubiobuedu boy said descended long line determined resourceful microscopic tadpoleschampions every one kurt vonnegut galapagos,talk.religion.misc
xref cantaloupesrvcscmuedu talkabortion talkpoliticsmisc talkreligionmisc path cantaloupesrvcscmuedumagnesiumclubcccmuedupittedugatechhowlandrestonansnetwuposttulanetheozoneanthonylandreneau anthonylandreneauozoneholecom anthony landreneau newsgroups talkabortiontalkpoliticsmisctalkreligionmisc subject abortion messageid uupcbozoneholecom date apr gmt replyto anthonylandreneauozoneholecom anthony landreneau organization ozone online operation inc new orleans la line margoliwatsonibmcom larry margolis anthonylandreneauozoneholecom lm rape passed nothing ever take away lm lmlmtrue forcing remain pregnant continues violation lmlmher body another month see unbelievably cruel lm lmlife violation lmbut forcing someone harbor life body violation letting mother force child body order end child life ultimate violation anthony slmr whats differance democrat ozone hole bb private bulletin board service full service node usrobotics k bps gig file skydive new orleans rime network mail hub usenet newsgroups please route question inquiry postmasterozoneholecom,talk.religion.misc
xref cantaloupesrvcscmuedu talkreligionmisc talkpoliticsmisc sciskeptic newsgroups talkreligionmisctalkpoliticsmiscsciskeptic path cantaloupesrvcscmuedurochesterudelgatechhowlandrestonansnetusccsutexaseduuunetrosevaxaquariusgrante granteaquariusrosemountcom grant edward subject who next mormon jew messageid aprrosevaxrosemountcom sender newsrosevaxrosemountcom rosevax usenet news autoadmin account nntppostinghost aquarius replyto granteaquariusrosemountcom grant edward organization rosemount inc reference aprraroyalroadsca date wed apr gmt line mleepostroyalroadsca malcolm lee writes god allows people choose want worship worship money one greatest religion country least prove money exists say god maybe david koresh really jesus christ sure sound like neat opening epic new major religion egomaniac attention entire world brief moment time see guy two thousand year ago thought god sound like egomanic know koresh wasnt claimed rather live shame taken captive fbi koresh chose kill follower sick sad jesus allowed killed many follower killed died thier belief sorry dont see difference grant edward yow sock go rosemount inc lose th washer granteaquariusrosemountcom,talk.religion.misc
path cantaloupesrvcscmueducrabapplesrvcscmuedufsececmuedueuropaenggtefsdcomgatechswrindezaphodmpsohiostateeduubacsubuffaloeduubvmsbccbuffaloedupsyrobtw psyrobtwubvmsbccbuffaloedu robert weiss newsgroups talkreligionmisc subject apr god promise john messageid cihxcjlkacsubuffaloedu date apr gmt sender nntpacsubuffaloedu organization university buffalo line newssoftware vaxvms vnews nntppostinghost ubvmsbccbuffaloedu many received gave power become son god even believe name john,talk.religion.misc
newsgroups talkreligionmisc path cantaloupesrvcscmueducrabapplesrvcscmuedubbandrewcmuedunewsseicmueducisohiostateeduzaphodmpsohiostateedudarwinsuranetemorypiratesnewsfeedpeachneteduumnedubrujaguarelw elwmayoedu subject lds gordons question nicene creed messageid aprbmwmayoedu sender newsmanbmwmayoedu usenet news administrator replyto elwjaguarsky organization mayo foundation rochester mn campus reference clfjibgacsubuffaloedu date fri apr gmt line nicene creed believe one god father almighty maker heaven earth thing visible invisible one lord jesus christ onlybegotten son god begotten father world god god light light god god begotten made one substance father thing made u men salvation came heaven incarnate holy spirit virgin mary made man crucified also u pontius pilate suffered buried third day rose according scriptur e ascended heaven sitteth right hand father shall come glory judge quick dead whose kingdom shall end believe holy spirit lord giver life proceedeth father son father son together worshipped glorified spoke prophet believe one holy apostolic church acknowledge one baptism remission sin look resurrection dead life world come amen,talk.religion.misc
path cantaloupesrvcscmueducrabapplesrvcscmuedubbandrewcmuedunewsseicmuedumagnesiumclubcccmuedupittedupogoisppittedujoslin joslinpogoisppittedu david joslin newsgroups talkreligionmisc subject language agreement messageid bluecispittedu date apr gmt reference aprlinusmitreorg sender newspittedu organization intelligent system program line responded jims article today see neglected respond one wouldnt want think hypocrite responding every stupid article trm mmwunixmitreorg james meritt dictionary definition disagree agree deleted please operationally differentiate disagree agree oh im weary trying wade jims repertoire red herring smoke screen let see get run four article posted jim today discord filter markov chain program steve lamont kind enough send taking action white goose held accomplice held decision upon door black white goose waddle past eye door hit confidence interval individual held responsible individual may held getaway car may held uncountably large number driver something agree black goose waddle past person imprisoned white goose waddle past confidence interval population goose axed fine white goose waddle past door running jims article discord make coherent less coherent discord turned jims article angstridden poem making choice world filled uncertainty yet held responsible choice make goose symbolize inner frustration ambiguity desire everything black white shade gray getaway car tell u try renounce existential nature get away responsibility action rather take role passive accomplice driver getaway car juxtaposition man machine car driver reveal subtext internal conflict determinism moral responsibility reading much collaboration jim random number generator dj,talk.religion.misc
