filename,target,target_name,preprocessed_text
D:\Project_DC\data\mini_newsgroups\comp.sys.mac.hardware\50473,4,soc.religion.christian,path cantaloupesrvcscmueducrabapplesrvcscmuedufsececmuedueuropaenggtefsdcomhowlandrestonansnetusccsutexaseduuunetpipexmarbleuknetacukuknetacorncamconaw awcamconcouk alain waha newsgroups compsysmachardware subject new duo dock info messageid iocamconcouk date apr gmt reference nazariostileskstarnodenetyaleedu aprumiamiirmiamiedu nazariostileskstarnodenetyaleedu organization cambridge consultant ltd cambridge uk line article nazariostileskstarnodenetyaleedu nazariopopcisyaleedu edgardo nazario macintosh coming second quarter cpu excuse mac got cpu alain
D:\Project_DC\data\mini_newsgroups\sci.crypt\16029,11,talk.religion.misc,newsgroups scicrypt path cantaloupesrvcscmuedumagnesiumclubcccmuedunewsseicmueducisohiostateeduzaphodmpsohiostateedudarwinsuranetsgiblabsfcsunweaver weaverkuttnersfcsonycom eric weaver subject citation electronic cash paper please messageid aprkuttnersfcsonycom sender weaverkuttner eric weaver organization sony advanced video technology center san jose ca usa date mon apr gmt line deeply grateful citation paper electronic cash scheme enquiring mind c eric weaver sony avtc river oak pkwy sj ca chief engineer kfjc foothill college los alto hill ca
D:\Project_DC\data\mini_newsgroups\sci.crypt\15431,11,talk.religion.misc,newsgroups scicryptaltprivacyclipper path cantaloupesrvcscmueducrabapplesrvcscmuedufsececmuedueuropaenggtefsdcomhowlandrestonansnetzaphodmpsohiostateeducsutexaseduuunetwellrab rabwellsfcaus bob bickford subject technical detail messageid cqxnxbmmwellsfcaus sender newswellsfcaus nntppostinghost wellsfcaus organization whole earth lectronic link reference aprulyssesattcom date mon apr gmt line system family key would appear cryptographically useless since every chip must know able remove effect bitstream daresay widely known almost immediately system deployed since pointed separate decrypt key key used encryption decryption go benefit use systemwide key skipjack robert bickford hacker person derives joy rabwellsfcaus discovering way circumvent limitation rab recognize class criminal juvenile delinquent taken calling hacker consider irrelevant true meaning word mafia call businessmen nobody pay fact attention rab
D:\Project_DC\data\mini_newsgroups\rec.autos\102899,7,alt.atheism,newsgroups recautos path cantaloupesrvcscmueducrabapplesrvcscmuedufsececmuedueuropaenggtefsdcomgatechnewsfeedpeachnetedudarwinsuranetcoscosbob bobcoscom bob blackshaw subject dumbest driver action messageid bobcos organization corporation open system reference sjmisismsstateedu cgqdmuusenetucsindianaedu chqmfnewscsouiucedu cmfjnewscsouiucedu qcvprarmorycenterlinecom cdqnubnewscsouiucedu distribution usa date thu apr gmt line cdqnubnewscsouiucedu mwbguxacsouiucedu mark wayne blunier writes jimfcenterlinecom jim frost writes wish figure back recall statistic showing woman tended accident men damage generally quite minor men fewer far expensive accident rate total vehicle destruction significantly higher men woman particularly younger male age group imho social consideration probably strongest influence possibly difference sex social influence often affect type car thats bought situation car used type car driving situation major effect accident risk thus society expects buy mustang race street youre likely society expects male female agree social influence driving condition let get real guy dont drag race becuase expected becuase fun find whose car faster guy drive different woman becuase men driver driving unusually usually figure male female driver without looking driver social influence may give person reason buy vehicle certain amount character would like associated change driving habit one around sheesh dont know kind woman guy live lady blow door least try cant let youngster get uppity u old folk mark b jim frost jimfcenterlinecom bob
D:\Project_DC\data\mini_newsgroups\talk.politics.mideast\76322,17,rec.motorcycles,xref cantaloupesrvcscmuedu socculturearabic talkpoliticsmideast socculturejewish path cantaloupesrvcscmuedurochesterudelgatechnewsfeedpeachneteduemoryogicsedasnewsharvardeduendoradam adamendoruucp adam shostack newsgroups socculturearabictalkpoliticsmideastsocculturejewish subject israeli terrorism messageid aprdasharvardedu date apr gmt articleid dasapr reference rdeoausenetinscwruedu amossaprshuldigcshujiacil bdadnewsserviceuciedu sender usenetdasharvardedu network news organization aiken computation lab harvard university line article bdadnewsserviceuciedu tclockorionoacuciedu tim clock cyclevelandfreenetedu ana omran writes eh could please give detail event neutral observer killed purpose israeli soldier actually im still trying understand selfjustifying rationale behind recent murder ian feinberg gaza hate simple minded tim think really simple dirty jew good jew people mind dead jew thats year propaganda fails discriminate jew zionist thats year statement like one ive appended someone mind make people sick drag political discourse point killing opponent honorable way resolve dispute else come demagogery peace adam arafat political pluralism palestinian leader suggests ending intifada expose bullet people endangers life plo know deal arafat kuwaiti news agency arafat massacre tienamin square behalf arab palestinian people leadership take opportunity express extreme gratification able restore normal order recent incident people china arafat telegram sent head chinese communist party yassir arafat humanitarian open fire new jewish immigrant soviet union ethiopia anywhere else would disgrace lift finger herd immigrant settle territory want shoot make difference live jaffa jericho give explicit order open fire everything stop flow immigration yassir arafat al muharar lebanese weekly april yassir arafat genocide arab set volcano arab part world people continue fuel torch revolution river blood whole occupied homeland liberated yasser arafat ap adam shostack adamdasharvardedu budget big enough drug sexual favor sure wouldnt waste member congress john perry barlow
D:\Project_DC\data\mini_newsgroups\sci.crypt\15894,11,talk.religion.misc,path cantaloupesrvcscmuedurochesterudelgatechhowlandrestonansnetagatedocicacukwarwickqmwdcsqmwdemongtoalcomgtoal newsgroups scicrypt gtoalgtoalcom graham toal subject shelf cheap de keyseach machine corporate acceptance wiretap chip date wed apr messageid aapizzaboxdemoncouk sender usenetdemoncouk line company worked previously received file de encryped person sent went vaction rather wait two week set straight frontal attack one key time took two day crack file dont faith de ag fun three question hardware use found key anything special meant lucky find early like first bit mean dictionary attack rather binary key attack g
D:\Project_DC\data\mini_newsgroups\soc.religion.christian\20811,15,talk.politics.guns,path cantaloupesrvcscmuedurochesterudelgatechrutgersigorrutgersedugenevarutgerseduchristian noringnetcomcom jon noring newsgroups socreligionchristian subject christian church member messageid aprgenevarutgersedu date apr gmt sender hedrickgenevarutgersedu organization netcom online communication service login guest line approved christianaramisrutgersedu article gchinssfengsuncom writes year met christian associated local church member local church issue may personal important bible say encourage friend regard issue brings interesting subject discussed much probably studied much may aware ive posted lot article lately personality typing mbti test vehicle come speed read altpsychologypersonality andor ask personality type summary file one observation people significantly different personality question seem essentially inborn respect church attendance participation people thrive people real difficulty prefer solitary contemplative lifestyle deenergized confronted excessive closeness outside activity lot people course measured extroversionintroversion impression many church totally blind fact create environment scare away many naturally introverted many introverted character bible btw know quite introverted preference find pressure many church participate meet together large group etc uncomfortable knowing know church overly influenced highly extroverted people thrive sort thing btw nothing wrong either extroversion introversion preference place body maybe define extrovertintrovert carefully since word usually used correctly culture extrovertintrovert scale measure person energized following excerpted summary energizing person energized extroversion e preference drawing energy outside world people activity thing introversion preference drawing energy one internal world idea emotion impression hopefully elicit discussion church structure meet real need people comprise body christ instead trying change people personality fit particular framework im sure aspect church properly understood personality variance among member detriment jon noring charter member infj club youre dying know infj mean brave email ill send info jon noring noringnetcomcom jkn international ip freds gourmet chocolate carlton place phone chip world best livermore ca vmail read altpsychologypersonality thats action
D:\Project_DC\data\mini_newsgroups\sci.med\58116,13,comp.windows.x,path cantaloupesrvcscmueducrabapplesrvcscmuedubbandrewcmuedunewsseicmueducisohiostateedupacificmpsohiostateeduzaphodmpsohiostateeduhowlandrestonansnetgatechpittedupittgeb gebcspittedu gordon bank newsgroups scimed subject sinus v migraine sinus endoscopy messageid pittuucp date apr gmt reference marfreenetcarletonca pittuucp marnewsengconvexcom sender newscspittedu replyto gebcspittedu gordon bank organization univ pittsburgh computer science line article marnewsengconvexcom cashconvexcom peter cash way brain even pain receptor thought noti heard brain surgery performed patient conscious precisely reason arent talking receptor brain sensory innervation structure thalamus handle pain entire organism apple orange gordon bank njxp skepticism chastity intellect gebcadredslpittedu shameful surrender soon
D:\Project_DC\data\mini_newsgroups\talk.politics.misc\178682,18,sci.space,xref cantaloupesrvcscmuedu altactivism talkpoliticsmisc path cantaloupesrvcscmuedumagnesiumclubcccmuedunewsseicmuedufsececmuedueuropaenggtefsdcomhowlandrestonansnetusccsutexasedutamsuntamuedurigeltamuedumst mstrigeltamuedu mitchell todd newsgroups altactivismtalkpoliticsmisc subject welcome police state usa date apr cst organization grinchco line distribution world messageid aprrigeltamuedu reference crusqmmnewscsouiucedu aprccusuedu csighxdscomsadesyde aprudeledu nntppostinghost rigeltamuedu newssoftware vaxvms vnews article aprudeledu carrollherculescisudeledu mark c carroll writes wait second youre ignoring major fact attempt simply serve warrant batf noknock warrant initial firefight began batf threw concussion grenade building batf admits batf say everything ive seen batf official version dissident statement batf officer conducted raid claim davidians shooting agent long within grenade range also warrant sealed know noknock mitchell todd mstzeus tamuedu
D:\Project_DC\data\mini_newsgroups\alt.atheism\51251,0,comp.sys.mac.hardware,newsgroups altatheism path cantaloupesrvcscmueducrabapplesrvcscmuedufsececmuedueuropaenggtefsdcomhowlandrestonansnetnewsserverjvncnetyaleeduiraukadenewsdfndetubsibrdbsturztubsdei idbsturztubsde benedikt rosenau subject biblical rape messageid bacidbsturztubsde sender postnntpibrcstubsde mr nntp inews entry organization technical university braunschweig germany reference feukoxsfkpcpandrewcmuedu marwatsonibmcom pfjhfidoasdsgicom marwatsonibmcom badidbsturztubsde aprwatsonibmcom baadacidbsturztubsde aprwatsonibmcom bacidbsturztubsde aprwatsonibmcom bafcidbsturztubsde aprwatsonibmcom date tue apr gmt line article aprwatsonibmcom stromwatsonibmcom rob strom writes article bafcidbsturztubsde idbsturztubsde benedikt rosenau didnt time read rest posting respond absolutely messianic jew another mistake sorry read altmessianic carefully benedikt
